station_name,fecha,pv_voltage_V_NORM_MEAN,pv_voltage_V_NORM_MIN,pv_voltage_V_NORM_MAX,pv_current_A_NORM_MEAN,pv_current_A_NORM_MIN,pv_current_A_NORM_MAX,pv_power_W_NORM_MEAN,pv_power_W_NORM_MIN,pv_power_W_NORM_MAX,battery_soc_%_NORM_MEAN,battery_soc_%_NORM_MIN,battery_soc_%_NORM_MAX,battery_voltage_V_NORM_MEAN,battery_voltage_V_NORM_MIN,battery_voltage_V_NORM_MAX,battery_current_A_NORM_MEAN,battery_current_A_NORM_MIN,battery_current_A_NORM_MAX,load_voltage_V_NORM_MEAN,load_voltage_V_NORM_MIN,load_voltage_V_NORM_MAX,load_current_A_NORM_MEAN,load_current_A_NORM_MIN,load_current_A_NORM_MAX,load_power_W_NORM_MEAN,load_power_W_NORM_MIN,load_power_W_NORM_MAX,controller_temp_C_NORM_MEAN,controller_temp_C_NORM_MIN,controller_temp_C_NORM_MAX,energy_generated_today_kWh_MAX,energy_consumed_today_kWh_MAX,battery_voltage_RANGE,controller_temp_RANGE,es_dia_productivo
Bruma,2026-05-06,0.5175763463056281,0.0,0.973756906077348,0.0019956089398957,0.0,0.0087370929308975,0.1087745478554922,0.0,0.4751264755480607,0.2185592185592185,0.1538461538461538,0.2652519893899204,0.2653752174923524,0.2508903838543728,0.2865057380292837,0.0755617112957833,0.0,0.3081717451523545,0.906833231376842,0.8573360378634213,0.9790398918187966,0.055107350561896,0.0433884297520661,0.071625344352617,0.665280686313191,0.5729764181007011,0.8017845761631612,1.0,1.0,1.0,0.37,0.26,0.04,0.0,True
Bruma,2026-05-07,0.3908005687708274,0.0,0.9783255418614534,0.0024252617469307,0.0,0.0154317485532735,0.1090506847803817,0.0,0.724353569421023,0.1982944544981283,0.1352785145888594,0.2652519893899204,0.2607761410412406,0.2473288484368817,0.2863078749505342,0.078041266471639,0.0,0.5055401662049862,0.891066836015747,0.8451656524678838,0.9797160243407708,0.0568085270719085,0.0426997245179063,0.0764462809917355,0.6806347277568306,0.5787125557680051,0.9381771829190568,1.0,1.0,1.0,0.35,0.26,0.04,0.0,False
Bruma,2026-05-08,0.3214647437552378,0.0,0.960900977475563,0.0021792360690611,0.0,0.0186088732554181,0.1031195988505566,0.0,0.909851039910062,0.192667145938174,0.1352785145888594,0.2652519893899204,0.2597997699610561,0.2477245745943807,0.2847249703205382,0.0715302767494239,0.0,0.6204986149584488,0.8876988113969404,0.8451656524678838,0.9763353617308992,0.0553538786334028,0.0399449035812672,0.0723140495867768,0.6680664510403079,0.5194391332058637,0.8483110261312938,1.0,1.0,1.0,0.37,0.26,0.04,0.0,True
Bruma,2026-05-09,0.4148753136010309,0.0,0.9768380790480238,0.002273035069161,0.0,0.0162260297288097,0.1098212342925529,0.0,0.7023608768971332,0.2022332506203474,0.1352785145888594,0.2652519893899204,0.2615494593870074,0.2469331222793827,0.2857142857142857,0.0775511571798766,0.0,0.492382271468144,0.8938144779602609,0.8438133874239352,0.977687626774848,0.0556351639562783,0.0399449035812672,0.0709366391184573,0.6712463249655626,0.5296367112810707,0.875717017208413,1.0,1.0,1.0,0.37,0.25,0.04,0.0,True
Bruma,2026-05-10,0.3513782845084044,0.0,0.9854441138971524,0.0023867562417588,0.0,0.0173607171224327,0.1085642360101568,0.0,0.7176784710511523,0.1945486142870209,0.1326259946949602,0.2652519893899204,0.2601899485555995,0.2471309853581322,0.2876929165017807,0.0766190658133537,0.0,0.4861495844875346,0.8891725536825907,0.8451656524678838,0.986477349560514,0.0554823311484753,0.0399449035812672,0.0785123966942148,0.6808861343706731,0.4824729126832377,0.8706182281708095,1.0,1.0,1.0,0.36,0.26,0.04,0.0,False
Bruma,2026-05-11,0.3744682931599276,0.0,0.9735444113897151,0.0023667771564332,0.0,0.013389311244752,0.1103719898322116,0.0,0.732504215851602,0.1973427853806248,0.1326259946949602,0.2652519893899204,0.2608710878266929,0.2463395330431341,0.2859121487930352,0.0779300370161547,0.0,0.4993074792243767,0.8915495401700504,0.8411088573360379,0.9783637592968224,0.0551086082059533,0.0371900826446281,0.0730027548209366,0.686937737243157,0.5398342893562779,0.8814531548757171,1.0,1.0,1.0,0.37,0.26,0.04,0.0,True
Bruma,2026-05-12,0.3807267318317042,0.0,1.0,0.0024482015204811,0.0,0.0200839668671281,0.1120601461495222,0.0,0.862211916807195,0.1972413793103448,0.1352785145888594,0.2652519893899204,0.2610890383854373,0.2469331222793827,0.2867036011080332,0.0787534626038781,0.0,0.6177285318559557,0.89194861392833,0.8444895199459095,0.9790398918187966,0.0555371900826446,0.0420110192837465,0.0709366391184573,0.6729177820267687,0.5035054174633524,0.851497769279796,1.0,1.0,1.0,0.38,0.26,0.04,0.0,True
Bruma,2026-05-13,0.2942992397412287,0.0,0.966638334041649,0.0033599354488949,0.0,0.0172472483830704,0.1485385047779651,0.0,0.8431703204047217,0.183613321544356,0.1352785145888594,0.2652519893899204,0.2589368157235193,0.2469331222793827,0.2882865057380293,0.1021211654868164,0.0,0.5872576177285319,0.8847444469486391,0.8451656524678838,0.9790398918187966,0.0569202122232425,0.0420110192837465,0.0750688705234159,0.6907796898236669,0.5098789037603569,0.8138942001274697,1.0,1.0,1.0,0.31,0.23,0.04,0.0,False
Bruma,2026-05-14,0.5666011474713132,0.0,0.9802379940501488,0.0184329967094065,0.0,1.0,0.0943203110361626,0.0,0.3551152332771219,0.2366489832007073,0.156498673740053,1.0,0.2776051972035352,0.2512861100118718,1.0,0.0833795013850415,0.0,1.0,0.8918751408609421,0.0074374577417173,0.977687626774848,0.0690426997245179,0.0426997245179063,1.0,0.6543445931591247,0.0452517527087316,0.858508604206501,0.984,0.04,1.0,11.08,0.26,0.75,0.96,True
Bruma,2026-05-15,0.4307552929456333,0.0,0.9762005949851252,0.0023230589219981,0.0,0.0139566549415636,0.1109645384926895,0.0,0.6089094997189433,0.2038732494794786,0.1379310344827586,0.2652519893899204,0.2621515588632021,0.2473288484368817,0.2863078749505342,0.0782176153456646,0.0,0.4279778393351801,0.8959192130689875,0.8451656524678838,0.9783637592968224,0.0540744690304807,0.0392561983471074,0.0674931129476584,0.6628357216773919,0.4754620777565328,0.8527724665391969,1.0,1.0,1.0,0.36,0.25,0.04,0.0,False
Bruma,2026-05-16,0.3852008074798129,0.0,0.9792817679558012,0.0023714966526721,0.0,0.0157721547713604,0.1112218943226531,0.0,0.6905564924114671,0.1981697612732095,0.1352785145888594,0.2652519893899204,0.2610308666402849,0.2473288484368817,0.2865057380292837,0.0786149584487534,0.0,0.4736842105263158,0.8919405003380664,0.8451656524678838,0.9797160243407708,0.0552134986225895,0.040633608815427,0.0702479338842975,0.6646080305927342,0.5417463352453792,0.8438495857233907,1.0,1.0,1.0,0.37,0.25,0.04,0.0,True
Bruma,2026-05-17,0.4071091732322076,0.0,0.9775818104547388,0.0025650481369305,0.0,0.0277998411437648,0.1164892495784148,0.0,0.9806070826306914,0.2005458069781677,0.1352785145888594,0.2652519893899204,0.2615312319259688,0.2469331222793827,0.2861100118717847,0.0814377796718517,0.0,0.6765927977839336,0.8932685806418058,0.8444895199459095,0.977687626774848,0.0545666454757363,0.0420110192837465,0.071625344352617,0.6656064617345687,0.4984066284257489,0.8387507966857871,1.0,1.0,1.0,0.36,0.25,0.04,0.0,False
Bruma,2026-05-18,0.4308079095775414,0.0,0.9801317467063324,0.0025294604370203,0.0,0.0135027799841143,0.1207959906777573,0.0,0.6514193367060146,0.2030816916520132,0.1352785145888594,0.2652519893899204,0.2619173599285025,0.2471309853581322,0.2859121487930352,0.0848532478446263,0.0,0.4418282548476454,0.8949943402390015,0.8458417849898581,0.9770114942528736,0.0551041569938403,0.0385674931129476,0.0730027548209366,0.661052269748856,0.5340981516889739,0.8463989802421925,1.0,1.0,1.0,0.36,0.25,0.04,0.0,False
Bruma,2026-05-19,0.4200268730655471,0.0,0.9981937951551212,0.0022796901271881,0.0,0.0175876546011573,0.1044956308447033,0.0,0.6069421023046655,0.2033330654020309,0.1352785145888594,0.2652519893899204,0.2618368089282216,0.2469331222793827,0.2865057380292837,0.0738758778924984,0.0,0.4002770083102493,0.8946394301363876,0.8444895199459095,0.9783637592968224,0.0546164120544285,0.0385674931129476,0.0695592286501377,0.6757569319710811,0.5302740599107711,0.8718929254302104,1.0,1.0,1.0,0.37,0.25,0.04,0.0,True
